block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_2-160-3,160,1,0,University of Manitoba,1051,1,12378_merged_65500
a_2-55-2,55,1,0,St.Vital Centre via Meadowood,1363,1,10850_merged_65288
b_1-11-27,24,1,1,City Hall,1219,2_merged_61273,570_merged_72713
b_1-18-21,18,1,0,Riverbend,1111,2_merged_61273,1828_merged_78613
a_3-10-1,10,1,0,St. Boniface via Tache,870,2_merged_61271,12630_merged_65270
b_3-17-2,17,1,0,Seven Oaks Hospital,1084,4_merged_61274,12910_merged_73882
a_1-58-3,41,1,0,Glenway,1291,4_merged_61272,5024_merged_67497
a_1-44-9,44,1,0,Kildonan Place via London,1302,4_merged_61272,3948_merged_67441
b_3-94-1,94,1,0,Henlow & Scurfield,2065,4_merged_61274,14245_merged_73066
a_2-68-1,68,1,0,Grosvenor & Renfrew,1417,1,11185_merged_67728
a_1-15-6,15,1,0,Airport via Wellington,971,4_merged_61272,976_merged_62663
a_1-71-4,71,1,0,WalMart via McPhillips,1421,4_merged_61272,5759_merged_69826
b_1-51-3,51,1,0,U of Manitoba,1351,2_merged_61273,4473_merged_73592
a_1-15-7,15,1,1,Inkster Park via Church,972,4_merged_61272,1000_merged_69108
b_3-29-2,29,1,1,Logan,1237,4_merged_61274,13316_merged_76293
b_1-98-2,98,1,0,Westdale,1571,2_merged_61273,7157_merged_76335
a_3-45-1,45,1,0,Munroe & Prevette,1317,2_merged_61271,13957_merged_68273
b_1-3-1,3,1,0,University of Winnipeg,1242,2_merged_61273,80_merged_79697
b_2-84-1,84,1,1,Fort Rouge Station,1950,3,11349_merged_73637
b_2-24-5,24,1,0,Unicity,1218,3,9682_merged_79665
b_1-162-16,162,1,0,St. Norbert,1062,2_merged_61273,7737_merged_72324
a_1-31-5,31,1,0,Oak Point,1246,4_merged_61272,3180_merged_68135
b_3-89-1,89,1,1,Kildonan Place,1517,4_merged_61274,14159_merged_76794
a_2-55-1,55,1,1,Portage & Garry,1367,1,10833_merged_64256
a_2-55-1,55,1,0,St. Vital Centre via Dakota,1365,1,10810_merged_64584
b_2-90-2,90,1,0,Kildonan Place,1525,3,11550_merged_75199
a_1-90-1,90,1,1,Henderson & Whellams,1522,4_merged_61272,6966_merged_63855
a_1-71-9,170,1,0,University of Manitoba,1098,4_merged_61272,5862_merged_61764
b_1-162-23,162,1,0,University of Manitoba,1055,2_merged_61273,7795_merged_73911
a_1-66-1,66,1,1,Downtown,1401,4_merged_61272,5364_merged_69790
b_1-74-7,78,1,1,Polo Park via Cambridge,1467,2_merged_61273,5843_merged_70856
