service_id,date,exception_type
19208-special,20190701,1
17023-special,20190701,1
18210-special,20190701,1
18092-special,20190701,1
17090-special,20190701,1
18097-special,20190701,1
18078-special,20190701,1
18483-special,20190701,1
18038-special,20190701,1
17379-special,20190701,1
19227-special,20190701,1
16962-special,20190701,1
17878-special,20190701,1
19259-special,20190701,1
18698-special,20190701,1
18627-special,20190701,1
18445-special,20190701,1
19234-special,20190701,1
19150-special,20190701,1
18706-special,20190701,1
18487-special,20190701,1
17563-special,20190701,1
19224-special,20190701,1
18677-special,20190701,1
18658-special,20190701,1
18200-special,20190701,1
18222-special,20190701,1
17190-special,20190701,1
17889-special,20190701,1
18701-special,20190701,1
